number,value,datetime_start,datetime_complete,duration,params_lags,state
0,0.11530250811253401,2025-07-24 22:55:35.276029,2025-07-24 23:33:14.017975,0 days 00:37:38.741946,124,COMPLETE
1,0.11218770671079559,2025-07-24 23:33:14.024679,2025-07-25 00:12:05.099978,0 days 00:38:51.075299,188,COMPLETE
2,0.11184102692473523,2025-07-25 00:12:05.105983,2025-07-25 00:50:38.077659,0 days 00:38:32.971676,186,COMPLETE
3,0.11190231506686843,2025-07-25 00:50:38.082261,2025-07-25 01:29:37.846291,0 days 00:38:59.764030,171,COMPLETE
4,0.19632610694858255,2025-07-25 01:29:37.847809,2025-07-25 01:35:23.549109,0 days 00:05:45.701300,11,COMPLETE
5,0.11586087449269271,2025-07-25 01:35:23.551129,2025-07-25 02:14:48.157479,0 days 00:39:24.606350,145,COMPLETE
6,0.11490819316150948,2025-07-25 02:14:48.158478,2025-07-25 02:45:31.697570,0 days 00:30:43.539092,81,COMPLETE
7,0.11511211204272631,2025-07-25 02:45:31.698574,2025-07-25 03:21:08.978424,0 days 00:35:37.279850,110,COMPLETE
8,0.11563402809031703,2025-07-25 03:21:08.979425,2025-07-25 03:59:06.120628,0 days 00:37:57.141203,138,COMPLETE
9,0.13428924671033646,2025-07-25 03:59:06.121628,2025-07-25 04:17:26.833346,0 days 00:18:20.711718,43,COMPLETE
10,0.11266855662325094,2025-07-25 04:17:26.834346,2025-07-25 04:51:53.248799,0 days 00:34:26.414453,181,COMPLETE
11,0.11181922116415806,2025-07-25 04:51:53.249853,2025-07-25 05:23:24.343683,0 days 00:31:31.093830,197,COMPLETE
12,0.11251264380459407,2025-07-25 05:23:24.344680,2025-07-25 05:52:00.149590,0 days 00:28:35.804910,208,COMPLETE
13,0.11275943626799696,2025-07-25 05:52:00.150585,2025-07-25 06:20:11.989177,0 days 00:28:11.838592,207,COMPLETE
14,0.11329049024439952,2025-07-25 06:20:11.990168,2025-07-25 06:51:32.518189,0 days 00:31:20.528021,165,COMPLETE
15,0.11397679819422761,2025-07-25 06:51:32.526136,2025-07-25 07:19:12.413285,0 days 00:27:39.887149,89,COMPLETE
16,0.116120457292815,2025-07-25 07:19:12.414275,2025-07-25 07:51:38.429640,0 days 00:32:26.015365,151,COMPLETE
17,0.11218770671079559,2025-07-25 07:51:38.430642,2025-07-25 08:22:00.189539,0 days 00:30:21.758897,188,COMPLETE
18,0.11536725773159666,2025-07-25 08:22:00.190542,2025-07-25 08:45:08.800586,0 days 00:23:08.610044,67,COMPLETE
19,0.11461691845489536,2025-07-25 08:45:08.801597,2025-07-25 09:20:21.798059,0 days 00:35:12.996462,155,COMPLETE
20,0.1158259060053014,2025-07-25 09:20:21.799058,2025-07-25 09:54:42.334598,0 days 00:34:20.535540,126,COMPLETE
21,0.11363546141978233,2025-07-25 09:54:42.336114,2025-07-25 10:29:05.917467,0 days 00:34:23.581353,174,COMPLETE
22,0.11215995564975621,2025-07-25 10:29:05.918467,2025-07-25 11:00:48.620539,0 days 00:31:42.702072,196,COMPLETE
23,0.11240481660962015,2025-07-25 11:00:48.622042,2025-07-25 11:41:16.324803,0 days 00:40:27.702761,170,COMPLETE
24,0.11300997633358112,2025-07-25 11:41:16.327317,2025-07-25 12:23:38.520641,0 days 00:42:22.193324,164,COMPLETE
25,0.11157546119335136,2025-07-25 12:23:38.522569,2025-07-25 12:59:53.866492,0 days 00:36:15.343923,198,COMPLETE
26,0.11136566843316094,2025-07-25 12:59:53.868493,2025-07-25 13:35:22.811151,0 days 00:35:28.942658,199,COMPLETE
27,0.11257310508757297,2025-07-25 13:35:22.813648,2025-07-25 14:12:54.070351,0 days 00:37:31.256703,204,COMPLETE
28,0.11213827603738231,2025-07-25 14:12:54.072356,2025-07-25 14:54:08.652173,0 days 00:41:14.579817,194,COMPLETE
29,0.11570553555649214,2025-07-25 14:54:08.653667,2025-07-25 15:34:50.989192,0 days 00:40:42.335525,130,COMPLETE
30,0.1154712015745441,2025-07-25 15:34:50.991701,2025-07-25 16:13:13.664331,0 days 00:38:22.672630,112,COMPLETE
31,0.11270064329503836,2025-07-25 16:13:13.666331,2025-07-25 16:52:26.273687,0 days 00:39:12.607356,183,COMPLETE
32,0.11215995564975621,2025-07-25 16:52:26.275684,2025-07-25 17:29:01.805018,0 days 00:36:35.529334,196,COMPLETE
33,0.11292991819932065,2025-07-25 17:29:01.806026,2025-07-25 18:07:10.973573,0 days 00:38:09.167547,182,COMPLETE
34,0.1135416600893749,2025-07-25 18:07:10.974575,2025-07-25 18:47:46.316565,0 days 00:40:35.341990,159,COMPLETE
35,0.11215995564975621,2025-07-25 18:47:46.318571,2025-07-25 19:27:43.890977,0 days 00:39:57.572406,196,COMPLETE
36,0.11308637602036574,2025-07-25 19:27:43.892478,2025-07-25 20:08:23.381430,0 days 00:40:39.488952,175,COMPLETE
37,0.16943998555230907,2025-07-25 20:08:23.383930,2025-07-25 20:17:46.433654,0 days 00:09:23.049724,19,COMPLETE
38,0.11234606872497277,2025-07-25 20:17:46.434654,2025-07-25 20:52:39.020891,0 days 00:34:52.586237,189,COMPLETE
39,0.11596603661793516,2025-07-25 20:52:39.022401,2025-07-25 21:29:23.234978,0 days 00:36:44.212577,140,COMPLETE
40,0.11251264380459407,2025-07-25 21:29:23.236987,2025-07-25 22:01:15.840062,0 days 00:31:52.603075,208,COMPLETE
41,0.11308637602036574,2025-07-25 22:01:15.841563,2025-07-25 22:37:39.532783,0 days 00:36:23.691220,175,COMPLETE
42,0.11157546119335136,2025-07-25 22:37:39.534304,2025-07-25 23:11:13.434026,0 days 00:33:33.899722,198,COMPLETE
43,0.11136566843316094,2025-07-25 23:11:13.435557,2025-07-25 23:44:39.127857,0 days 00:33:25.692300,199,COMPLETE
44,0.1122453246689357,2025-07-25 23:44:39.128859,2025-07-26 00:17:51.987636,0 days 00:33:12.858777,200,COMPLETE
45,0.11253144016350618,2025-07-26 00:17:51.989150,2025-07-26 00:51:59.179679,0 days 00:34:07.190529,185,COMPLETE
46,0.11154653147805586,2025-07-26 00:51:59.181680,2025-07-26 01:25:49.521427,0 days 00:33:50.339747,190,COMPLETE
47,0.11154653147805586,2025-07-26 01:25:49.524596,2025-07-26 01:59:48.036998,0 days 00:33:58.512402,190,COMPLETE
48,0.11668086467445528,2025-07-26 01:59:48.038495,2025-07-26 02:35:47.846217,0 days 00:35:59.807722,149,COMPLETE
49,0.11300997633358112,2025-07-26 02:35:47.847392,2025-07-26 03:08:55.809296,0 days 00:33:07.961904,164,COMPLETE
50,0.11302115896945715,2025-07-26 03:08:55.809797,2025-07-26 03:40:55.960861,0 days 00:32:00.151064,179,COMPLETE
51,0.11234606872497277,2025-07-26 03:40:55.961925,2025-07-26 04:12:09.995371,0 days 00:31:14.033446,189,COMPLETE
52,0.11251264380459407,2025-07-26 04:12:09.996369,2025-07-26 04:40:42.199358,0 days 00:28:32.202989,208,COMPLETE
53,0.1122453246689357,2025-07-26 04:40:42.200359,2025-07-26 05:09:49.293515,0 days 00:29:07.093156,200,COMPLETE
54,0.11117214070573293,2025-07-26 05:09:49.294516,2025-07-26 05:39:52.856019,0 days 00:30:03.561503,191,COMPLETE
55,0.11329221387387205,2025-07-26 05:39:52.857018,2025-07-26 06:11:32.844727,0 days 00:31:39.987709,167,COMPLETE
56,0.11164140553191286,2025-07-26 06:11:32.845743,2025-07-26 06:42:03.871284,0 days 00:30:31.025541,187,COMPLETE
57,0.11117214070573293,2025-07-26 06:42:03.872293,2025-07-26 07:12:19.346959,0 days 00:30:15.474666,191,COMPLETE
58,0.11660293850503023,2025-07-26 07:12:19.347961,2025-07-26 07:34:02.542683,0 days 00:21:43.194722,62,COMPLETE
59,0.11354299984940582,2025-07-26 07:34:02.543683,2025-07-26 08:06:48.422081,0 days 00:32:45.878398,158,COMPLETE
60,0.11660635228111672,2025-07-26 08:06:48.431316,2025-07-26 08:36:33.954788,0 days 00:29:45.523472,101,COMPLETE
61,0.11234606872497277,2025-07-26 08:36:33.955846,2025-07-26 09:07:11.048574,0 days 00:30:37.092728,189,COMPLETE
62,0.11302115896945715,2025-07-26 09:07:11.049574,2025-07-26 09:38:39.066803,0 days 00:31:28.017229,179,COMPLETE
63,0.11213827603738231,2025-07-26 09:38:39.067804,2025-07-26 10:08:59.009555,0 days 00:30:19.941751,194,COMPLETE
